"Issue Type","Summary","Description","Priority","Story Points","Epic Name","Epic Link","Sprint","Labels"
"Epic","Epic 1: Table Discovery & Reservation","Enable diners to see live table availability on a 2D floor plan and reserve a specific table for a chosen slot without any risk of double booking.

Traces to: FR-001","High","","Epic 1: Table Discovery & Reservation","","","Lab2 PS36"
"Epic","Epic 2: Pre-Ordering & Menu Experience","Enable diners to browse the live menu and build a pre-order that is attached to their reservation and visible to the restaurant.

Traces to: FR-002","High","","Epic 2: Pre-Ordering & Menu Experience","","","Lab2 PS36"
"Epic","Epic 3: Kitchen Preparation Orchestration","Time the kitchen work so that pre-ordered food is ready as the diner is seated, by computing cook-start times and releasing tickets to the KDS.

Traces to: FR-003","High","","Epic 3: Kitchen Preparation Orchestration","","","Lab2 PS36"
"Epic","Epic 4: Payments & Confirmation","Take payment for the pre-order or deposit through a PCI-compliant gateway and confirm the booking to the diner, storing no raw card data.

Traces to: FR-004, NFR-002","High","","Epic 4: Payments & Confirmation","","","Lab2 PS36"
"Epic","Epic 5: Floor Operations & Reservation Lifecycle","Give the restaurant a truthful live floor plan: status changes synced in real time, no-show tables released, cancellations handled.

Traces to: FR-005, NFR-001","High","","Epic 5: Floor Operations & Reservation Lifecycle","","","Lab2 PS36"
"Story","Story 1.1: View live floor plan","As a diner,
I want to see the restaurant's 2D floor plan with every table colour-coded as Available, Reserved or Seated,
So that I can see at a glance where I could sit before I commit to a booking.

Acceptance criteria: Floor plan renders in under 2 s; colours match live table state; tapping a table opens its details.
Traces to: FR-001 / UC-01","High","8","","Epic 1: Table Discovery & Reservation","RTB Sprint 1","Lab2 PS36"
"Story","Story 1.2: Filter tables by slot and party size","As a diner,
I want to filter the floor plan by date, time slot and party size,
So that I only see tables that can actually seat my group at the time I want.

Acceptance criteria: Tables too small for the party size or already held for the window are shown as unavailable.
Traces to: FR-001 / UC-02","High","5","","Epic 1: Table Discovery & Reservation","RTB Sprint 1","Lab2 PS36"
"Story","Story 1.3: Select and hold a table","As a diner,
I want to tap an available table and have it held for me for 10 minutes,
So that nobody else takes it while I finish choosing my food and paying.

Acceptance criteria: Hold expires automatically at 10 min and the table returns to Available; countdown visible to the diner.
Traces to: FR-001 / UC-01","High","5","","Epic 1: Table Discovery & Reservation","RTB Sprint 1","Lab2 PS36"
"Story","Story 1.4: Reject overlapping reservations","As a restaurant manager,
I want the system to reject any second booking for a table whose dining window overlaps an existing one,
So that two parties are never sent to the same table.

Acceptance criteria: 0 double bookings across 100 simulated concurrent booking attempts on the same table.
Traces to: FR-001 / UC-02","Highest","8","","Epic 1: Table Discovery & Reservation","RTB Sprint 1","Lab2 PS36"
"Story","Story 2.1: Browse the digital menu","As a diner,
I want to browse the restaurant's live menu by category with prices and prep time,
So that I can decide what to pre-order before I arrive.

Acceptance criteria: Menu reflects current availability; unavailable items are visibly disabled, not hidden.
Traces to: FR-002 / UC-03","High","5","","Epic 2: Pre-Ordering & Menu Experience","RTB Sprint 1","Lab2 PS36"
